Label,True Positive (TP),False Positive (FP),False Negative (FN),True Negative (TN),Positive Predictive Value (PPV),True Positive Rate (TPR),True Negative Rate (TNR),Negative Predictive Value (NPV),Accuracy (ACC),Dice Score (DS)
Stop,8,1,1,111,0.8888888888888888,0.8888888888888888,0.9910714285714286,0.9910714285714286,0.9834710743801653,0.8888888888888888
Steep Descent,12,0,1,108,1.0,0.9230769230769231,1.0,0.9908256880733946,0.9917355371900827,0.96
Speed Limit 80,16,1,1,103,0.9411764705882353,0.9411764705882353,0.9903846153846154,0.9903846153846154,0.9834710743801653,0.9411764705882353
Speed Limit 20,11,0,0,110,1.0,1.0,1.0,1.0,1.0,1.0
Right Reverse Bend,13,1,1,106,0.9285714285714286,0.9285714285714286,0.9906542056074766,0.9906542056074766,0.9834710743801653,0.9285714285714286
Pedestrian Crossing,4,1,0,116,0.8,1.0,0.9914529914529915,1.0,0.9917355371900827,0.8888888888888888
Hump,7,0,0,114,1.0,1.0,1.0,1.0,1.0,1.0
Give Way,11,0,0,110,1.0,1.0,1.0,1.0,1.0,1.0
Falling Rocks,13,0,0,108,1.0,1.0,1.0,1.0,1.0,1.0
Speed Limit 50,7,0,0,114,1.0,1.0,1.0,1.0,1.0,1.0
Barrier Ahead,14,1,1,105,0.9333333333333333,0.9333333333333333,0.9905660377358491,0.9905660377358491,0.9834710743801653,0.9333333333333333
